               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.037266,            0.006444,                   0,             0.86794,             0.79937,             0.85438,             0.48099,            0.036339,           0.0046138,                   0,             0.00556,             0.00556,             0.00556
                  39,            0.038833,           0.0064132,                   0,             0.85896,             0.78829,              0.8435,              0.4728,            0.037925,            0.004827,                   0,             0.00544,             0.00544,             0.00544
                  40,            0.039346,           0.0067062,                   0,             0.77411,             0.81814,             0.82265,             0.47325,            0.034817,           0.0044864,                   0,             0.00532,             0.00532,             0.00532
                  41,            0.036917,           0.0064414,                   0,             0.88786,             0.81532,              0.8821,             0.49122,            0.036424,           0.0045031,                   0,              0.0052,              0.0052,              0.0052
                  42,             0.03905,            0.006421,                   0,             0.90839,              0.8018,             0.87348,             0.49076,            0.034873,            0.004453,                   0,             0.00508,             0.00508,             0.00508
                  43,            0.037873,           0.0061619,                   0,             0.91784,             0.80515,             0.87981,             0.51566,            0.033119,           0.0045902,                   0,             0.00496,             0.00496,             0.00496
                  44,             0.03773,           0.0061349,                   0,             0.81714,              0.8018,             0.84678,             0.48167,            0.033441,           0.0044274,                   0,             0.00484,             0.00484,             0.00484
                  45,             0.03631,           0.0059411,                   0,             0.87243,             0.80631,             0.87807,             0.49878,            0.033792,           0.0044471,                   0,             0.00472,             0.00472,             0.00472
                  46,            0.035829,           0.0059407,                   0,             0.83923,             0.77928,             0.83156,             0.48883,            0.032837,           0.0045734,                   0,              0.0046,              0.0046,              0.0046
                  47,             0.03735,           0.0057458,                   0,             0.86154,             0.80631,             0.86416,             0.48895,            0.033609,           0.0045241,                   0,             0.00448,             0.00448,             0.00448
                  48,            0.035769,           0.0057496,                   0,             0.85843,             0.81943,             0.87767,              0.4962,            0.032888,           0.0043191,                   0,             0.00436,             0.00436,             0.00436
                  49,            0.037417,            0.005812,                   0,             0.88202,             0.80826,             0.88028,             0.48587,            0.033544,           0.0043966,                   0,             0.00424,             0.00424,             0.00424
                  50,            0.036423,           0.0055894,                   0,             0.82693,              0.8018,             0.86806,             0.47528,            0.034122,           0.0047013,                   0,             0.00412,             0.00412,             0.00412
                  51,            0.033997,           0.0060165,                   0,             0.89051,             0.80597,             0.87955,             0.50088,            0.034168,           0.0044968,                   0,               0.004,               0.004,               0.004
                  52,            0.034141,           0.0057619,                   0,             0.91803,             0.80719,             0.89319,             0.52111,            0.037801,           0.0043446,                   0,             0.00388,             0.00388,             0.00388
                  53,            0.033771,           0.0055703,                   0,             0.90386,             0.84698,             0.90968,              0.5442,            0.035318,           0.0043098,                   0,             0.00376,             0.00376,             0.00376
                  54,            0.035407,            0.005518,                   0,             0.91375,             0.81081,             0.90307,             0.52035,            0.032573,           0.0046257,                   0,             0.00364,             0.00364,             0.00364
                  55,            0.034114,           0.0055739,                   0,             0.88049,             0.83784,             0.89739,             0.53216,            0.034328,           0.0046392,                   0,             0.00352,             0.00352,             0.00352
                  56,            0.033314,           0.0055415,                   0,             0.86869,             0.78829,             0.87408,             0.49433,            0.032944,           0.0046206,                   0,              0.0034,              0.0034,              0.0034
                  57,            0.033763,           0.0056551,                   0,             0.88242,             0.77753,              0.8678,             0.49503,            0.032963,           0.0049208,                   0,             0.00328,             0.00328,             0.00328
                  58,            0.033112,           0.0054625,                   0,             0.84493,             0.80994,             0.87816,             0.51884,            0.031909,           0.0047696,                   0,             0.00316,             0.00316,             0.00316
                  59,            0.033046,           0.0055762,                   0,             0.83759,             0.83629,             0.87093,             0.49467,             0.03265,           0.0049547,                   0,             0.00304,             0.00304,             0.00304
                  60,            0.029347,           0.0053718,                   0,             0.85571,             0.83333,             0.87162,             0.51256,            0.033778,           0.0050311,                   0,             0.00292,             0.00292,             0.00292
                  61,            0.035882,           0.0054533,                   0,             0.85312,             0.85586,             0.87246,             0.49893,            0.031529,           0.0047554,                   0,              0.0028,              0.0028,              0.0028
