                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                0.94256,                0.76024,                 1.3306,                0.86181,                0.88696,                0.91457,                0.64497,                0.99128,                0.88232,                 1.5355,              0.0014456,              0.0014456,              0.0014456
                     31,                0.94563,                0.75355,                 1.3189,                0.89864,                0.90625,                0.93101,                0.63006,                 1.1344,                0.73186,                 1.6461,              0.0014258,              0.0014258,              0.0014258
                     32,                0.96303,                0.75882,                 1.3357,                0.89245,                0.83111,                0.91235,                0.61361,                 1.1053,                0.77745,                  1.611,               0.001406,               0.001406,               0.001406
                     33,                0.96396,                0.75363,                 1.3374,                0.89383,                0.88444,                 0.9278,                0.65626,                 1.0171,                 0.7016,                 1.5821,              0.0013862,              0.0013862,              0.0013862
                     34,                0.93455,                0.72064,                 1.3233,                0.90502,                0.92444,                0.94782,                0.68596,                 0.9597,                0.62261,                  1.504,              0.0013664,              0.0013664,              0.0013664
                     35,                 0.9575,                0.74741,                 1.3335,                0.88828,                0.84444,                0.91206,                0.64055,                 1.0273,                0.69787,                  1.621,              0.0013466,              0.0013466,              0.0013466
                     36,                0.92536,                0.74867,                 1.3093,                0.87765,                0.88444,                0.91632,                0.63034,                 1.0571,                0.75122,                 1.6091,              0.0013268,              0.0013268,              0.0013268
                     37,                0.91042,                0.70685,                 1.2899,                0.93818,                0.90222,                 0.9409,                0.68048,                0.99176,                0.64342,                 1.5138,               0.001307,               0.001307,               0.001307
                     38,                0.91087,                0.69892,                 1.2925,                0.92608,                0.89333,                0.94911,                0.67944,                0.99556,                0.63469,                 1.5111,              0.0012872,              0.0012872,              0.0012872
                     39,                0.87958,                0.67431,                 1.2704,                0.84718,                0.91556,                0.91427,                0.63847,                 1.0256,                0.79459,                 1.5456,              0.0012674,              0.0012674,              0.0012674
                     40,                0.90385,                0.68199,                 1.2927,                0.92619,                0.94816,                 0.9682,                0.69713,                0.97714,                0.68649,                 1.4786,              0.0012476,              0.0012476,              0.0012476
                     41,                0.87389,                0.67896,                 1.2674,                0.91227,                0.92437,                0.94079,                0.68414,                0.94209,                0.65212,                 1.4729,              0.0012278,              0.0012278,              0.0012278
                     42,                0.85057,                 0.6474,                 1.2599,                0.89828,                0.90667,                0.94726,                0.64702,                 1.0815,                0.71161,                 1.5572,               0.001208,               0.001208,               0.001208
                     43,                0.86156,                0.65525,                 1.2642,                0.90103,                 0.9306,                0.96291,                0.70738,                0.91128,                0.57299,                 1.4155,              0.0011882,              0.0011882,              0.0011882
                     44,                0.89039,                0.66389,                 1.2822,                0.93258,                0.92213,                0.96634,                0.71212,                0.95371,                 0.6164,                 1.4614,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.8699,                 0.6423,                 1.2789,                0.94133,                0.92697,                0.95495,                0.66842,                 1.0162,                0.60668,                   1.51,              0.0011486,              0.0011486,              0.0011486
                     46,                0.84672,                0.62174,                 1.2522,                0.94164,                0.92444,                0.96213,                0.68471,                 1.0029,                0.58563,                 1.4891,              0.0011288,              0.0011288,              0.0011288
                     47,                0.86356,                0.63602,                 1.2545,                0.93884,                0.93778,                0.96899,                0.70846,                0.92972,                 0.6032,                 1.4463,               0.001109,               0.001109,               0.001109
                     48,                0.86321,                 0.6322,                 1.2638,                0.93749,                0.93315,                 0.9676,                0.69603,                0.95224,                0.56425,                 1.4973,              0.0010892,              0.0010892,              0.0010892
                     49,                0.83089,                 0.6214,                 1.2366,                0.92631,                0.94972,                0.98025,                0.72985,                0.91455,                0.51794,                 1.4313,              0.0010694,              0.0010694,              0.0010694
                     50,                0.81566,                0.60987,                  1.239,                0.92101,                0.96444,                0.97407,                0.69605,                 0.9971,                0.55362,                   1.47,              0.0010496,              0.0010496,              0.0010496
                     51,                0.83193,                0.60895,                 1.2353,                0.94909,                0.93333,                0.96881,                 0.6956,                0.96488,                0.57871,                  1.455,              0.0010298,              0.0010298,              0.0010298
                     52,                0.85038,                0.60983,                 1.2601,                 0.9544,                0.93012,                0.97532,                0.71111,                 0.9684,                0.57006,                 1.4545,                0.00101,                0.00101,                0.00101
                     53,                0.81161,                0.60393,                 1.2331,                0.94549,                0.93333,                0.96189,                0.71967,                0.91313,                0.53014,                 1.4397,              0.0009902,              0.0009902,              0.0009902
                     54,                 0.8332,                0.61263,                  1.265,                0.91389,                0.93333,                0.94723,                0.70818,                0.90603,                 0.5332,                 1.4241,              0.0009704,              0.0009704,              0.0009704
                     55,                0.81034,                0.58491,                 1.2301,                0.92772,                0.96979,                0.98544,                0.75355,                0.88262,                0.51984,                 1.3861,              0.0009506,              0.0009506,              0.0009506
                     56,                 0.8112,                0.59285,                 1.2398,                0.94568,                0.94667,                0.96721,                0.73458,                0.91018,                0.56138,                 1.4446,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.8244,                0.59843,                 1.2392,                0.94249,                0.92444,                0.96943,                0.72436,                0.92699,                0.54027,                 1.4668,               0.000911,               0.000911,               0.000911
                     58,                0.81697,                0.60163,                 1.2365,                0.96934,                0.94667,                0.97887,                0.73917,                0.87538,                0.52412,                 1.3969,              0.0008912,              0.0008912,              0.0008912
                     59,                  0.782,                0.58393,                 1.2165,                0.93607,                0.95556,                0.97398,                0.72158,                0.90526,                0.55204,                 1.3968,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.7838,                 0.5837,                 1.2197,                0.94708,                0.95442,                0.97084,                0.72385,                0.89338,                0.51968,                 1.4021,              0.0008516,              0.0008516,              0.0008516
                     61,                0.77205,                0.55713,                 1.1987,                0.92603,                0.94594,                 0.9659,                0.73201,                0.86569,                0.50176,                  1.394,              0.0008318,              0.0008318,              0.0008318
                     62,                0.76826,                0.56787,                 1.2022,                0.96309,                0.92776,                0.97106,                0.72838,                0.89583,                0.52096,                 1.3835,               0.000812,               0.000812,               0.000812
                     63,                0.76451,                0.56411,                 1.2066,                0.96216,                0.93333,                 0.9669,                0.73759,                0.86992,                0.56483,                 1.4136,              0.0007922,              0.0007922,              0.0007922
                     64,                0.75177,                0.53919,                 1.1981,                0.91965,                0.93778,                0.96065,                 0.7525,                0.83532,                0.49725,                 1.3604,              0.0007724,              0.0007724,              0.0007724
                     65,                0.74785,                0.53925,                 1.1804,                0.95453,                0.93778,                0.97421,                0.75984,                0.81653,                0.48174,                 1.3298,              0.0007526,              0.0007526,              0.0007526
                     66,                0.73253,                0.52725,                 1.1781,                0.93755,                0.93418,                0.96691,                0.70522,                0.93442,                0.54328,                 1.4228,              0.0007328,              0.0007328,              0.0007328
                     67,                0.77243,                0.54902,                   1.19,                0.93094,                0.95867,                0.97395,                0.74374,                0.85821,                0.49117,                 1.3467,               0.000713,               0.000713,               0.000713
                     68,                0.71722,                0.52919,                 1.1821,                0.94323,                0.96001,                0.96789,                0.75114,                0.83328,                0.48113,                 1.3564,              0.0006932,              0.0006932,              0.0006932
                     69,                0.71869,                0.51773,                 1.1754,                0.94066,                0.95556,                0.96852,                0.75597,                0.81917,                0.49151,                  1.333,              0.0006734,              0.0006734,              0.0006734
                     70,                0.71453,                0.52895,                 1.1672,                0.95543,                0.95273,                0.96964,                0.75006,                0.81524,                0.47099,                 1.3218,              0.0006536,              0.0006536,              0.0006536
                     71,                0.70057,                0.50907,                 1.1556,                0.97128,                0.93333,                0.98121,                0.76615,                0.78298,                0.48045,                 1.2985,              0.0006338,              0.0006338,              0.0006338
                     72,                0.69583,                0.50836,                 1.1607,                0.95912,                0.93856,                 0.9675,                0.77856,                0.77546,                0.46787,                 1.2969,               0.000614,               0.000614,               0.000614
                     73,                 0.7012,                0.49997,                 1.1587,                 0.9548,                0.93878,                0.95757,                0.75083,                0.85713,                0.50457,                 1.3692,              0.0005942,              0.0005942,              0.0005942
                     74,                0.67584,                0.49524,                 1.1549,                0.96361,                0.94153,                0.98005,                0.76526,                0.79757,                0.44622,                 1.3221,              0.0005744,              0.0005744,              0.0005744
                     75,                 0.7063,                0.50789,                 1.1765,                0.96406,                0.95373,                0.97783,                0.76961,                0.81237,                 0.4533,                 1.3166,              0.0005546,              0.0005546,              0.0005546
                     76,                0.69356,                0.49873,                 1.1506,                0.93518,                0.95111,                0.97181,                0.75939,                0.82094,                0.45309,                 1.3509,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.6796,                0.50265,                 1.1531,                0.95908,                 0.9375,                0.96051,                0.73464,                0.83992,                0.49656,                 1.3608,               0.000515,               0.000515,               0.000515
                     78,                0.70167,                0.50751,                 1.1557,                0.96404,                0.95308,                0.98384,                0.76986,                0.77655,                0.45666,                 1.3098,              0.0004952,              0.0004952,              0.0004952
                     79,                0.67763,                0.48446,                 1.1597,                0.97565,                   0.96,                0.97561,                0.76306,                0.81273,                0.45678,                 1.3271,              0.0004754,              0.0004754,              0.0004754
                     80,                0.67269,                0.47743,                 1.1531,                0.95466,                0.96444,                0.97786,                0.76455,                0.79717,                0.43742,                  1.303,              0.0004556,              0.0004556,              0.0004556
                     81,                0.66065,                0.47916,                 1.1333,                0.94843,                0.96444,                 0.9805,                0.77599,                 0.8024,                0.46243,                 1.3215,              0.0004358,              0.0004358,              0.0004358
                     82,                0.66189,                0.46313,                 1.1292,                0.94739,                 0.9604,                0.98314,                 0.7844,                0.77693,                0.43027,                 1.2842,               0.000416,               0.000416,               0.000416
                     83,                0.66162,                0.45498,                 1.1178,                0.98419,                0.95556,                0.98785,                 0.7882,                0.76705,                0.43722,                 1.2991,              0.0003962,              0.0003962,              0.0003962
                     84,                0.66432,                0.46818,                 1.1314,                0.96872,                0.96358,                0.98443,                0.77747,                0.74669,                0.42634,                 1.2634,              0.0003764,              0.0003764,              0.0003764
                     85,                0.65402,                0.48434,                 1.1179,                0.97321,                0.96881,                0.98902,                0.79751,                0.74526,                0.40787,                 1.2571,              0.0003566,              0.0003566,              0.0003566
                     86,                0.66074,                0.47415,                 1.1365,                0.96667,                0.97778,                0.98904,                0.80047,                0.75766,                0.41449,                 1.2592,              0.0003368,              0.0003368,              0.0003368
                     87,                0.63532,                 0.4577,                 1.1288,                0.97703,                   0.96,                0.98375,                 0.7733,                0.76468,                0.42565,                 1.2607,               0.000317,               0.000317,               0.000317
                     88,                 0.6287,                0.44092,                 1.1083,                0.96584,                0.96889,                0.97784,                0.78696,                0.74236,                  0.422,                 1.2578,              0.0002972,              0.0002972,              0.0002972
                     89,                0.62249,                0.44022,                 1.1098,                0.97423,                0.97778,                0.98745,                0.79322,                0.74002,                0.40283,                 1.2415,              0.0002774,              0.0002774,              0.0002774
                     90,                0.61043,                 0.4331,                  1.109,                0.97774,                 0.9761,                0.98969,                0.79693,                0.76008,                 0.4142,                 1.2578,              0.0002576,              0.0002576,              0.0002576
