               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.031398,           0.0038077,                   0,             0.96761,             0.95783,             0.98341,              0.7318,            0.017108,           0.0029427,                   0,             0.00556,             0.00556,             0.00556
                  39,            0.031358,             0.00378,                   0,             0.94206,             0.94277,             0.96783,             0.70068,            0.017682,           0.0031072,                   0,             0.00544,             0.00544,             0.00544
                  40,            0.029245,           0.0037268,                   0,             0.95962,             0.95783,             0.98013,             0.70509,            0.017332,           0.0029494,                   0,             0.00532,             0.00532,             0.00532
                  41,             0.03018,           0.0037188,                   0,              0.9799,             0.93072,             0.97858,             0.72699,            0.016985,           0.0029532,                   0,              0.0052,              0.0052,              0.0052
                  42,            0.030382,           0.0037645,                   0,             0.93874,             0.92308,             0.95589,             0.68865,            0.018378,           0.0034628,                   0,             0.00508,             0.00508,             0.00508
                  43,            0.029937,            0.003619,                   0,             0.96903,             0.93976,             0.97364,             0.71441,            0.018127,           0.0029627,                   0,             0.00496,             0.00496,             0.00496
                  44,            0.029643,           0.0037095,                   0,             0.97815,             0.94396,             0.97132,             0.72746,            0.016671,           0.0029152,                   0,             0.00484,             0.00484,             0.00484
                  45,            0.028992,           0.0036243,                   0,             0.97176,             0.93278,             0.97658,             0.73837,             0.01683,           0.0030052,                   0,             0.00472,             0.00472,             0.00472
                  46,            0.029133,           0.0036658,                   0,             0.95729,             0.94517,               0.979,             0.71942,            0.017948,           0.0029526,                   0,              0.0046,              0.0046,              0.0046
                  47,            0.029766,           0.0036293,                   0,             0.96611,             0.94277,             0.97951,              0.7137,            0.017488,           0.0029831,                   0,             0.00448,             0.00448,             0.00448
                  48,            0.028548,           0.0035442,                   0,              0.9628,             0.94277,              0.9821,             0.74131,            0.016172,           0.0029489,                   0,             0.00436,             0.00436,             0.00436
                  49,            0.028209,           0.0035982,                   0,             0.95163,             0.94819,             0.98439,             0.73201,            0.017665,           0.0029841,                   0,             0.00424,             0.00424,             0.00424
                  50,            0.027982,           0.0035568,                   0,             0.98094,              0.9488,             0.98107,              0.7366,             0.01609,           0.0028494,                   0,             0.00412,             0.00412,             0.00412
                  51,            0.027358,           0.0035401,                   0,             0.96949,             0.95718,             0.97467,             0.72613,            0.016704,           0.0029643,                   0,               0.004,               0.004,               0.004
                  52,            0.027767,           0.0035028,                   0,              0.9489,              0.9508,             0.97866,             0.74492,             0.01641,           0.0028546,                   0,             0.00388,             0.00388,             0.00388
                  53,            0.027482,           0.0034446,                   0,             0.96336,             0.95042,             0.97649,             0.73214,            0.016783,           0.0028826,                   0,             0.00376,             0.00376,             0.00376
                  54,            0.026916,            0.003466,                   0,             0.97664,             0.94277,             0.98398,             0.75716,            0.015777,           0.0029331,                   0,             0.00364,             0.00364,             0.00364
                  55,            0.026807,           0.0034513,                   0,             0.97456,             0.92327,               0.978,             0.74247,            0.016494,           0.0028345,                   0,             0.00352,             0.00352,             0.00352
                  56,            0.027161,           0.0034118,                   0,             0.96378,             0.94277,             0.97313,             0.74682,            0.015511,           0.0028504,                   0,              0.0034,              0.0034,              0.0034
                  57,            0.026084,           0.0034398,                   0,             0.97003,             0.93675,             0.97597,             0.74695,            0.014941,           0.0028651,                   0,             0.00328,             0.00328,             0.00328
                  58,            0.026555,           0.0033577,                   0,             0.96124,             0.95482,             0.97592,             0.74788,            0.015982,           0.0029369,                   0,             0.00316,             0.00316,             0.00316
                  59,             0.02719,           0.0033347,                   0,             0.95546,             0.94578,             0.97982,             0.74047,              0.0155,           0.0028876,                   0,             0.00304,             0.00304,             0.00304
                  60,            0.026256,           0.0033161,                   0,             0.95762,             0.94277,             0.98241,              0.7359,            0.016587,           0.0028945,                   0,             0.00292,             0.00292,             0.00292
                  61,            0.026455,           0.0032285,                   0,             0.97184,             0.93556,             0.98113,             0.75524,            0.014726,           0.0029356,                   0,              0.0028,              0.0028,              0.0028
                  62,            0.025897,           0.0032595,                   0,             0.98064,             0.91535,             0.97792,             0.75819,            0.015338,           0.0028921,                   0,             0.00268,             0.00268,             0.00268
                  63,            0.026494,           0.0032731,                   0,             0.96846,              0.9488,             0.98514,             0.74845,            0.016651,           0.0028748,                   0,             0.00256,             0.00256,             0.00256
                  64,            0.024966,           0.0032321,                   0,             0.96379,             0.96196,             0.98159,             0.76374,            0.015692,             0.00291,                   0,             0.00244,             0.00244,             0.00244
                  65,            0.025165,            0.003257,                   0,             0.97513,             0.94497,             0.98229,             0.75153,            0.015781,           0.0028736,                   0,             0.00232,             0.00232,             0.00232
                  66,            0.025608,           0.0032534,                   0,             0.96972,             0.94578,             0.97741,             0.75272,             0.01556,           0.0028778,                   0,              0.0022,              0.0022,              0.0022
                  67,            0.025161,           0.0031732,                   0,             0.95568,             0.95482,             0.97912,              0.7621,            0.015389,           0.0029277,                   0,             0.00208,             0.00208,             0.00208
                  68,            0.024777,           0.0032256,                   0,             0.95541,             0.96084,             0.98003,             0.76765,            0.015578,           0.0027871,                   0,             0.00196,             0.00196,             0.00196
                  69,            0.024919,           0.0031676,                   0,               0.959,              0.9488,             0.98169,             0.76144,            0.015907,           0.0028691,                   0,             0.00184,             0.00184,             0.00184
                  70,            0.024246,           0.0031473,                   0,             0.97587,             0.95181,             0.98569,             0.76649,            0.015178,           0.0027175,                   0,             0.00172,             0.00172,             0.00172
                  71,            0.023622,           0.0031571,                   0,             0.96682,             0.96687,             0.98498,             0.76199,            0.015482,           0.0027533,                   0,              0.0016,              0.0016,              0.0016
                  72,            0.024498,           0.0031047,                   0,             0.97672,             0.95181,              0.9845,             0.75979,            0.015773,           0.0027694,                   0,             0.00148,             0.00148,             0.00148
                  73,            0.023581,           0.0031483,                   0,              0.9601,             0.96687,             0.98233,             0.76731,            0.015584,           0.0028101,                   0,             0.00136,             0.00136,             0.00136
                  74,            0.023373,           0.0031115,                   0,             0.97771,              0.9488,             0.98682,             0.76523,            0.015753,            0.002729,                   0,             0.00124,             0.00124,             0.00124
