               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040386,            0.010704,            0.002161,             0.95875,             0.91983,             0.95155,             0.58188,            0.027284,            0.008836,           0.0018195,              0.0058,              0.0058,              0.0058
                  37,            0.040942,            0.010832,           0.0022072,             0.96311,             0.94008,             0.95963,             0.59388,               0.026,           0.0085098,           0.0017591,             0.00568,             0.00568,             0.00568
                  38,            0.039904,             0.01065,           0.0021389,             0.95898,             0.94799,             0.96451,             0.58412,            0.027545,            0.008637,           0.0019486,             0.00556,             0.00556,             0.00556
                  39,            0.040383,            0.010682,            0.002177,               0.958,             0.94748,             0.96336,             0.58196,            0.026208,           0.0086691,           0.0014771,             0.00544,             0.00544,             0.00544
                  40,            0.039595,            0.010452,           0.0019993,             0.96345,             0.94891,             0.96257,              0.5965,            0.026445,            0.008751,           0.0014686,             0.00532,             0.00532,             0.00532
                  41,            0.039485,            0.010401,           0.0021354,              0.9636,             0.95516,             0.95783,             0.59943,            0.025914,           0.0082852,           0.0016291,              0.0052,              0.0052,              0.0052
                  42,             0.03913,             0.01054,           0.0020294,             0.95681,             0.95951,             0.96419,             0.60719,             0.02495,           0.0084283,           0.0015926,             0.00508,             0.00508,             0.00508
                  43,            0.038898,             0.01047,           0.0020223,              0.9604,             0.94609,             0.95669,              0.5958,            0.026179,           0.0084906,            0.001863,             0.00496,             0.00496,             0.00496
                  44,            0.038907,             0.01041,           0.0020083,             0.95812,             0.94696,             0.95948,             0.60167,            0.025922,           0.0082917,           0.0014372,             0.00484,             0.00484,             0.00484
                  45,            0.039031,            0.010262,           0.0019109,             0.95687,             0.95098,             0.96256,             0.59887,            0.025979,            0.008475,           0.0015635,             0.00472,             0.00472,             0.00472
                  46,            0.039073,             0.01019,           0.0020526,             0.95444,             0.94819,             0.96237,             0.61015,            0.026558,            0.008512,           0.0017613,              0.0046,              0.0046,              0.0046
                  47,            0.037867,            0.010111,           0.0018935,             0.96276,              0.9521,             0.96488,             0.61127,            0.024719,           0.0083442,            0.001588,             0.00448,             0.00448,             0.00448
                  48,            0.037701,            0.010223,           0.0017486,             0.96668,             0.94993,             0.96041,             0.61142,            0.025782,              0.0085,           0.0013731,             0.00436,             0.00436,             0.00436
                  49,            0.037722,            0.010068,           0.0020584,             0.96292,             0.93802,             0.96158,             0.60683,             0.02486,           0.0085868,           0.0014638,             0.00424,             0.00424,             0.00424
                  50,            0.038149,            0.010238,           0.0020469,             0.96141,             0.93292,             0.96055,             0.61126,             0.02447,           0.0083789,           0.0014274,             0.00412,             0.00412,             0.00412
                  51,             0.03731,            0.010065,           0.0018282,             0.95662,             0.95307,             0.96376,             0.61908,            0.024042,           0.0083375,           0.0015215,               0.004,               0.004,               0.004
                  52,            0.036879,           0.0098539,           0.0017258,             0.96544,              0.9531,             0.96529,             0.61353,             0.02509,           0.0085463,           0.0015159,             0.00388,             0.00388,             0.00388
                  53,            0.037044,            0.010241,           0.0016089,             0.96216,             0.94247,             0.96071,             0.61433,            0.025372,           0.0085218,           0.0016661,             0.00376,             0.00376,             0.00376
                  54,            0.036706,           0.0099136,             0.00177,             0.95771,             0.94966,             0.96307,             0.62198,            0.024283,           0.0081221,           0.0016073,             0.00364,             0.00364,             0.00364
