                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1541,                 1.0579,                 1.4224,                0.81726,                0.80631,                0.85248,                0.50696,                 1.4306,                0.99344,                  1.986,              0.0011288,              0.0011288,              0.0011288
                     36,                 1.1767,                 1.0495,                 1.4322,                0.82945,                0.72523,                0.81464,                0.48158,                 1.4399,                 1.1244,                 2.0337,              0.0011024,              0.0011024,              0.0011024
                     37,                 1.1595,                 1.0227,                 1.4019,                0.81444,                0.72523,                0.80231,                0.46148,                 1.4899,                 1.0737,                 2.0425,               0.001076,               0.001076,               0.001076
                     38,                 1.1884,                 1.0501,                 1.4512,                0.79707,                0.78829,                0.83599,                0.49937,                 1.4211,                 1.0103,                 1.9729,              0.0010496,              0.0010496,              0.0010496
                     39,                 1.1249,                 1.0046,                 1.4075,                0.78828,                0.78825,                0.83299,                0.50672,                 1.4026,                 1.2065,                 1.9471,              0.0010232,              0.0010232,              0.0010232
                     40,                 1.1365,                 1.0067,                 1.3925,                0.81922,                0.76577,                0.84829,                0.49755,                 1.4293,                0.99568,                 1.9778,              0.0009968,              0.0009968,              0.0009968
                     41,                 1.1166,                0.97458,                 1.3655,                0.84134,                0.78827,                0.85805,                0.52799,                 1.4005,                0.91156,                 1.9792,              0.0009704,              0.0009704,              0.0009704
                     42,                 1.1105,                0.94697,                 1.3833,                0.79497,                 0.8018,                0.86189,                0.48221,                 1.5122,                0.94795,                 2.0574,               0.000944,               0.000944,               0.000944
                     43,                 1.0986,                0.94707,                 1.3945,                0.83565,                0.81081,                0.87536,                0.51987,                 1.4146,                 0.9302,                 1.9948,              0.0009176,              0.0009176,              0.0009176
                     44,                 1.1086,                0.95048,                 1.3842,                0.83902,                0.82173,                0.88313,                0.54971,                 1.3236,                0.88858,                 1.8862,              0.0008912,              0.0008912,              0.0008912
                     45,                 1.0856,                0.91838,                  1.365,                0.83325,                0.74281,                0.83838,                0.48958,                 1.4641,                0.93354,                 2.0494,              0.0008648,              0.0008648,              0.0008648
                     46,                 1.0827,                0.93009,                 1.3716,                0.79817,                0.82883,                0.88067,                0.55609,                 1.3141,                0.85151,                  1.913,              0.0008384,              0.0008384,              0.0008384
                     47,                  1.082,                0.93048,                  1.365,                0.90175,                0.78378,                0.88674,                0.54617,                 1.3878,                0.87064,                  1.954,               0.000812,               0.000812,               0.000812
                     48,                 1.0865,                0.89045,                 1.3445,                0.89324,                0.75377,                0.86601,                0.53278,                 1.3874,                0.93156,                 1.9403,              0.0007856,              0.0007856,              0.0007856
                     49,                 1.0784,                0.89703,                 1.3566,                0.87451,                0.81614,                 0.9009,                0.55908,                 1.3086,                0.81556,                 1.8795,              0.0007592,              0.0007592,              0.0007592
                     50,                 1.0339,                0.84002,                 1.3229,                0.85493,                0.78829,                0.88257,                0.53116,                 1.4039,                0.85347,                 2.0123,              0.0007328,              0.0007328,              0.0007328
                     51,                 1.0472,                0.89126,                 1.3399,                0.82587,                 0.8332,                0.87375,                0.52199,                 1.3737,                0.88322,                 1.9628,              0.0007064,              0.0007064,              0.0007064
                     52,                 1.0075,                0.84605,                 1.3259,                0.90543,                0.77928,                0.89427,                0.52847,                 1.3697,                0.84435,                 1.9537,                0.00068,                0.00068,                0.00068
                     53,                 1.0528,                0.86388,                  1.334,                0.91113,                0.78509,                0.88915,                0.54616,                 1.3682,                0.84132,                  1.945,              0.0006536,              0.0006536,              0.0006536
                     54,                 1.0134,                0.84076,                 1.3208,                0.89601,                0.77027,                0.90268,                0.55668,                 1.3335,                0.81851,                 1.8658,              0.0006272,              0.0006272,              0.0006272
                     55,                 1.0191,                0.84943,                 1.2899,                0.88472,                0.72595,                0.86388,                0.54277,                 1.3315,                0.88727,                 1.8705,              0.0006008,              0.0006008,              0.0006008
                     56,                 1.0009,                0.85077,                 1.3127,                0.86458,                0.80527,                0.89664,                0.54357,                 1.3817,                0.87676,                 1.9081,              0.0005744,              0.0005744,              0.0005744
                     57,                0.97608,                0.79728,                 1.2941,                0.88065,                0.83333,                0.90361,                0.56108,                  1.365,                0.80203,                 1.8883,               0.000548,               0.000548,               0.000548
